reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,226,309.0,326.0
0.24,large,226,309.0,325.0
0.24,large,226,309.0,324.0
0.24,large,226,313.0,319.0
0.24,large,226,313.0,318.0
0.24,large,226,313.0,317.0
0.24,large,226,312.0,326.0
0.24,large,226,312.0,325.0
0.24,large,226,312.0,324.0
0.24,large,226,312.0,323.0
0.24,large,226,312.0,322.0
0.24,large,309,323.0,325.0
0.24,large,309,323.0,324.0
0.24,large,309,322.0,326.0
0.24,large,309,322.0,325.0
0.24,large,309,322.0,324.0
0.24,large,309,322.0,323.0
0.24,large,309,321.0,326.0
0.24,large,309,321.0,325.0
0.24,large,226,306.0,320.0
0.24,large,226,306.0,319.0
0.24,large,226,306.0,318.0
0.24,large,226,306.0,317.0
0.24,large,309,325.0,326.0
0.24,large,309,324.0,326.0
0.24,large,309,324.0,325.0
0.24,large,309,323.0,326.0
0.24,large,226,307.0,318.0
0.24,large,226,307.0,317.0
0.24,large,226,306.0,326.0
0.24,large,226,306.0,325.0
0.24,large,226,306.0,324.0
0.24,large,226,306.0,323.0
0.24,large,226,306.0,322.0
0.24,large,226,306.0,321.0
0.24,large,226,307.0,326.0
0.24,large,226,307.0,325.0
0.24,large,226,307.0,324.0
0.24,large,226,307.0,323.0
0.24,large,226,307.0,322.0
0.24,large,226,307.0,321.0
0.24,large,226,307.0,320.0
0.24,large,226,307.0,319.0
0.24,large,309,317.0,325.0
0.24,large,309,317.0,324.0
0.24,large,309,317.0,323.0
0.24,large,309,317.0,322.0
0.24,large,309,317.0,321.0
0.24,large,309,317.0,320.0
0.24,large,309,317.0,319.0
0.24,large,309,317.0,318.0
0.24,large,309,318.0,325.0
0.24,large,309,318.0,324.0
0.24,large,309,318.0,323.0
0.24,large,309,318.0,322.0
0.24,large,309,318.0,321.0
0.24,large,309,318.0,320.0
0.24,large,309,318.0,319.0
0.24,large,309,317.0,326.0
0.24,large,309,320.0,321.0
0.24,large,309,319.0,326.0
0.24,large,309,319.0,325.0
0.24,large,309,319.0,324.0
0.24,large,309,319.0,323.0
0.24,large,309,319.0,322.0
0.24,large,309,319.0,321.0
0.24,large,309,319.0,320.0
0.24,large,309,321.0,324.0
0.24,large,309,321.0,323.0
0.24,large,309,321.0,322.0
0.24,large,309,320.0,326.0
0.24,large,309,320.0,325.0
0.24,large,309,320.0,324.0
0.24,large,309,320.0,323.0
0.24,large,309,320.0,322.0
0.24,large,309,314.0,322.0
0.24,large,309,314.0,321.0
0.24,large,309,314.0,320.0
0.24,large,309,314.0,319.0
0.24,large,309,314.0,318.0
0.24,large,309,314.0,317.0
0.24,large,309,313.0,326.0
0.24,large,309,313.0,325.0
0.24,large,309,315.0,320.0
0.24,large,309,315.0,319.0
0.24,large,309,315.0,318.0
0.24,large,309,315.0,317.0
0.24,large,309,314.0,326.0
0.24,large,309,314.0,325.0
0.24,large,309,314.0,324.0
0.24,large,309,314.0,323.0
0.24,large,309,316.0,318.0
0.24,large,309,316.0,317.0
0.24,large,309,315.0,326.0
0.24,large,309,315.0,325.0
0.24,large,309,315.0,324.0
0.24,large,309,315.0,323.0
0.24,large,309,315.0,322.0
0.24,large,309,315.0,321.0
0.24,large,309,316.0,326.0
0.24,large,309,316.0,325.0
0.24,large,309,316.0,324.0
0.24,large,309,316.0,323.0
0.24,large,309,316.0,322.0
0.24,large,309,316.0,321.0
0.24,large,309,316.0,320.0
0.24,large,309,316.0,319.0
0.24,large,308,322.0,325.0
0.24,large,308,322.0,324.0
0.24,large,308,322.0,323.0
0.24,large,308,321.0,326.0
0.24,large,308,321.0,325.0
0.24,large,308,321.0,324.0
0.24,large,308,321.0,323.0
0.24,large,308,321.0,322.0
0.24,large,309,312.0,317.0
0.24,large,308,325.0,326.0
0.24,large,308,324.0,326.0
0.24,large,308,324.0,325.0
0.24,large,308,323.0,326.0
0.24,large,308,323.0,325.0
0.24,large,308,323.0,324.0
0.24,large,308,322.0,326.0
0.24,large,309,312.0,326.0
0.24,large,309,312.0,325.0
0.24,large,309,312.0,324.0
0.24,large,309,312.0,323.0
0.24,large,309,312.0,322.0
0.24,large,309,312.0,321.0
0.24,large,309,312.0,320.0
0.24,large,309,312.0,319.0
0.24,large,309,313.0,324.0
0.24,large,309,313.0,323.0
0.24,large,309,313.0,322.0
0.24,large,309,313.0,321.0
0.24,large,309,313.0,320.0
0.24,large,309,313.0,319.0
0.24,large,309,313.0,318.0
0.24,large,309,313.0,317.0
0.24,large,308,317.0,323.0
0.24,large,308,317.0,322.0
0.24,large,308,317.0,321.0
0.24,large,308,317.0,320.0
0.24,large,308,317.0,319.0
0.24,large,308,317.0,318.0
0.24,large,308,316.0,326.0
0.24,large,308,316.0,325.0
0.24,large,308,318.0,323.0
0.24,large,308,318.0,322.0
0.24,large,308,318.0,321.0
0.24,large,308,318.0,320.0
0.24,large,308,318.0,319.0
0.24,large,308,317.0,326.0
0.24,large,308,317.0,325.0
0.24,large,308,317.0,324.0
0.24,large,308,319.0,324.0
0.24,large,308,319.0,323.0
0.24,large,308,319.0,322.0
0.24,large,308,319.0,321.0
0.24,large,308,319.0,320.0
0.24,large,308,318.0,326.0
0.24,large,308,318.0,325.0
0.24,large,308,318.0,324.0
0.24,large,308,320.0,326.0
0.24,large,308,320.0,325.0
0.24,large,308,320.0,324.0
0.24,large,308,320.0,323.0
0.24,large,308,320.0,322.0
0.24,large,308,320.0,321.0
0.24,large,308,319.0,326.0
0.24,large,308,319.0,325.0
0.24,large,308,314.0,320.0
0.24,large,308,314.0,319.0
0.24,large,308,314.0,318.0
0.24,large,308,314.0,317.0
0.24,large,308,313.0,326.0
0.24,large,308,313.0,325.0
0.24,large,308,313.0,324.0
0.24,large,308,313.0,323.0
0.24,large,308,315.0,318.0
0.24,large,308,315.0,317.0
0.24,large,308,314.0,326.0
0.24,large,308,314.0,325.0
0.24,large,308,314.0,324.0
0.24,large,308,314.0,323.0
0.24,large,308,314.0,322.0
0.24,large,308,314.0,321.0
0.24,large,308,315.0,326.0
0.24,large,308,315.0,325.0
0.24,large,308,315.0,324.0
0.24,large,308,315.0,323.0
0.24,large,308,315.0,322.0
0.24,large,308,315.0,321.0
0.24,large,308,315.0,320.0
0.24,large,308,315.0,319.0
0.24,large,308,316.0,324.0
0.24,large,308,316.0,323.0
0.24,large,308,316.0,322.0
0.24,large,308,316.0,321.0
0.24,large,308,316.0,320.0
0.24,large,308,316.0,319.0
0.24,large,308,316.0,318.0
0.24,large,308,316.0,317.0
0.24,large,308,309.0,318.0
0.24,large,308,309.0,317.0
0.24,large,307,325.0,326.0
0.24,large,307,324.0,326.0
0.24,large,307,324.0,325.0
0.24,large,307,323.0,326.0
0.24,large,307,323.0,325.0
0.24,large,307,323.0,324.0
0.24,large,308,309.0,326.0
0.24,large,308,309.0,325.0
0.24,large,308,309.0,324.0
0.24,large,308,309.0,323.0
0.24,large,308,309.0,322.0
0.24,large,308,309.0,321.0
0.24,large,308,309.0,320.0
0.24,large,308,309.0,319.0
0.24,large,308,312.0,324.0
0.24,large,308,312.0,323.0
0.24,large,308,312.0,322.0
0.24,large,308,312.0,321.0
0.24,large,308,312.0,320.0
0.24,large,308,312.0,319.0
0.24,large,308,312.0,318.0
0.24,large,308,312.0,317.0
0.24,large,308,313.0,322.0
0.24,large,308,313.0,321.0
0.24,large,308,313.0,320.0
0.24,large,308,313.0,319.0
0.24,large,308,313.0,318.0
0.24,large,308,313.0,317.0
0.24,large,308,312.0,326.0
0.24,large,308,312.0,325.0
0.24,large,307,318.0,324.0
0.24,large,307,318.0,323.0
0.24,large,307,318.0,322.0
0.24,large,307,318.0,321.0
0.24,large,307,318.0,320.0
0.24,large,307,318.0,319.0
0.24,large,307,317.0,326.0
0.24,large,307,317.0,325.0
0.24,large,307,319.0,325.0
0.24,large,307,319.0,324.0
0.24,large,307,319.0,323.0
0.24,large,307,319.0,322.0
0.24,large,307,319.0,321.0
0.24,large,307,319.0,320.0
0.24,large,307,318.0,326.0
0.24,large,307,318.0,325.0
0.24,large,307,321.0,322.0
0.24,large,307,320.0,326.0
0.24,large,307,320.0,325.0
0.24,large,307,320.0,324.0
0.24,large,307,320.0,323.0
0.24,large,307,320.0,322.0
0.24,large,307,320.0,321.0
0.24,large,307,319.0,326.0
0.24,large,307,322.0,326.0
0.24,large,307,322.0,325.0
0.24,large,307,322.0,324.0
0.24,large,307,322.0,323.0
0.24,large,307,321.0,326.0
0.24,large,307,321.0,325.0
0.24,large,307,321.0,324.0
0.24,large,307,321.0,323.0
0.24,large,307,315.0,319.0
0.24,large,307,315.0,318.0
0.24,large,307,315.0,317.0
0.24,large,307,314.0,326.0
0.24,large,307,314.0,325.0
0.24,large,307,314.0,324.0
0.24,large,307,314.0,323.0
0.24,large,307,314.0,322.0
0.24,large,307,316.0,317.0
0.24,large,307,315.0,326.0
0.24,large,307,315.0,325.0
0.24,large,307,315.0,324.0
0.24,large,307,315.0,323.0
0.24,large,307,315.0,322.0
0.24,large,307,315.0,321.0
0.24,large,307,315.0,320.0
0.24,large,307,316.0,325.0
0.24,large,307,316.0,324.0
0.24,large,307,316.0,323.0
0.24,large,307,316.0,322.0
0.24,large,307,316.0,321.0
0.24,large,307,316.0,320.0
0.24,large,307,316.0,319.0
0.24,large,307,316.0,318.0
0.24,large,307,317.0,324.0
0.24,large,307,317.0,323.0
0.24,large,307,317.0,322.0
0.24,large,307,317.0,321.0
0.24,large,307,317.0,320.0
0.24,large,307,317.0,319.0
0.24,large,307,317.0,318.0
0.24,large,307,316.0,326.0
0.24,large,307,312.0,317.0
0.24,large,307,309.0,326.0
